sim,arch,xai,k,iou,dice,rho,n
qdq,mobilenetv3_large_100,gradcampp,0.15,0.6981,0.8136,0.8874,320
qdq,mobilenetv3_large_100,gradcampp,0.2,0.7037,0.8195,0.8874,320
qdq,mobilenetv3_large_100,gradcampp,0.25,0.7095,0.8248,0.8874,320
qdq,mobilenetv3_large_100,gradcampp,0.3,0.714,0.8291,0.8874,320
qdq,mobilenetv3_large_100,ig,0.05,0.308,0.4683,0.587,320
qdq,mobilenetv3_large_100,ig,0.1,0.3376,0.5034,0.587,320
qdq,mobilenetv3_large_100,ig,0.15,0.3659,0.5348,0.587,320
qdq,mobilenetv3_large_100,ig,0.2,0.3925,0.563,0.587,320
qdq,mobilenetv3_large_100,ig,0.25,0.4188,0.5896,0.587,320
qdq,mobilenetv3_large_100,ig,0.3,0.4451,0.6153,0.587,320
qdq,mobilenetv3_large_100,lime,0.05,0.4783,0.5304,0.6387,120
qdq,mobilenetv3_large_100,lime,0.1,0.4429,0.5382,0.6387,120
qdq,mobilenetv3_large_100,lime,0.15,0.4455,0.5666,0.6387,120
qdq,mobilenetv3_large_100,lime,0.2,0.4722,0.6086,0.6387,120
qdq,mobilenetv3_large_100,lime,0.25,0.4965,0.6415,0.6387,120
qdq,mobilenetv3_large_100,lime,0.3,0.5022,0.6523,0.6387,120
qdq,resnet50,gradcam,0.05,0.6359,0.7602,0.9315,320
qdq,resnet50,gradcam,0.1,0.7355,0.8398,0.9315,320
qdq,resnet50,gradcam,0.15,0.7829,0.8734,0.9315,320
qdq,resnet50,gradcam,0.2,0.8093,0.8912,0.9315,320
qdq,resnet50,gradcam,0.25,0.8252,0.9016,0.9315,320
qdq,resnet50,gradcam,0.3,0.8313,0.9055,0.9315,320
qdq,resnet50,gradcampp,0.05,0.647,0.7709,0.9554,320
qdq,resnet50,gradcampp,0.1,0.7444,0.8474,0.9554,320
qdq,resnet50,gradcampp,0.15,0.79,0.8794,0.9554,320
qdq,resnet50,gradcampp,0.2,0.8179,0.8977,0.9554,320
qdq,resnet50,gradcampp,0.25,0.8337,0.9078,0.9554,320
qdq,resnet50,gradcampp,0.3,0.84,0.9118,0.9554,320
qdq,resnet50,ig,0.05,0.3633,0.5271,0.6757,320
qdq,resnet50,ig,0.1,0.393,0.5605,0.6757,320
qdq,resnet50,ig,0.15,0.4204,0.5892,0.6757,320
qdq,resnet50,ig,0.2,0.4467,0.6153,0.6757,320
qdq,resnet50,ig,0.25,0.4724,0.6398,0.6757,320
qdq,resnet50,ig,0.3,0.4979,0.6632,0.6757,320
qdq,resnet50,lime,0.05,0.7554,0.8087,0.7886,120
qdq,resnet50,lime,0.1,0.735,0.8134,0.7886,120
qdq,resnet50,lime,0.15,0.6871,0.7935,0.7886,120
qdq,resnet50,lime,0.2,0.6591,0.7776,0.7886,120
qdq,resnet50,lime,0.25,0.667,0.786,0.7886,120
qdq,resnet50,lime,0.3,0.6591,0.783,0.7886,120
qdq,tf_efficientnetv2_s,gradcam,0.05,0.6541,0.7781,0.94,320
qdq,tf_efficientnetv2_s,gradcam,0.1,0.7056,0.8193,0.94,320
qdq,tf_efficientnetv2_s,gradcam,0.15,0.736,0.8426,0.94,320
qdq,tf_efficientnetv2_s,gradcam,0.2,0.7545,0.8566,0.94,320
qdq,tf_efficientnetv2_s,gradcam,0.25,0.7682,0.8664,0.94,320
qdq,tf_efficientnetv2_s,gradcam,0.3,0.7825,0.876,0.94,320
qdq,tf_efficientnetv2_s,gradcampp,0.05,0.5934,0.7309,0.8657,320
qdq,tf_efficientnetv2_s,gradcampp,0.1,0.639,0.7721,0.8657,320
qdq,tf_efficientnetv2_s,gradcampp,0.15,0.667,0.7953,0.8657,320
qdq,tf_efficientnetv2_s,gradcampp,0.2,0.6877,0.8112,0.8657,320
qdq,tf_efficientnetv2_s,gradcampp,0.25,0.7051,0.824,0.8657,320
