model,gt_iou,gt_dice,chance_iou,pointing_game,mass_in_gt,collapsed,iou_over_chance,n
fp32,0.0066,0.0122,0.0073,0.0,0.0163,0.0,0.904,87
int8-qdq,0.0106,0.019,0.0073,0.0115,0.0169,0.0,1.452,87
