image,model,gt_frac,gt_iou,gt_dice,chance_iou,pointing_game,mass_in_gt,collapsed
.10143.1517875222.320737,fp32,0.0085,0.0,0.0,0.0043,False,0.0019,False
.10143.1517875222.320737,int8-qdq,0.0085,0.0,0.0,0.0043,False,0.0101,False
.10151.1517875222.348415,fp32,0.0161,0.0,0.0,0.0081,False,0.0185,False
.10151.1517875222.348415,int8-qdq,0.0161,0.0,0.0,0.0081,False,0.0178,False
.10153.1517875222.374774,fp32,0.0057,0.0,0.0,0.0028,False,0.0022,False
.10153.1517875222.374774,int8-qdq,0.0057,0.0,0.0,0.0028,False,0.0058,False
.10156.1517875222.384521,fp32,0.0561,0.0,0.0,0.0289,False,0.0107,False
.10156.1517875222.384521,int8-qdq,0.0561,0.0866,0.1594,0.0289,True,0.0827,False
.10157.1517875222.388499,fp32,0.0153,0.0,0.0,0.0077,False,0.0125,False
.10157.1517875222.388499,int8-qdq,0.0153,0.0,0.0,0.0077,False,0.0088,False
.10168.1517875222.448105,fp32,0.0105,0.0,0.0,0.0053,False,0.0086,False
.10168.1517875222.448105,int8-qdq,0.0105,0.0,0.0,0.0053,False,0.0052,False
.10169.1517875222.447445,fp32,0.014,0.135,0.2379,0.007,False,0.0193,False
.10169.1517875222.447445,int8-qdq,0.014,0.1046,0.1895,0.007,False,0.0264,False
9.1017.1517875165.920291,fp32,0.0072,0.0,0.0,0.0036,False,0.0068,False
9.1017.1517875165.920291,int8-qdq,0.0072,0.0,0.0,0.0036,False,0.0067,False
.10173.1517875222.480007,fp32,0.012,0.0,0.0,0.006,False,0.0086,False
.10173.1517875222.480007,int8-qdq,0.012,0.0,0.0,0.006,False,0.001,False
.10175.1517875222.467676,fp32,0.0074,0.0,0.0,0.0037,False,0.0077,False
.10175.1517875222.467676,int8-qdq,0.0074,0.0,0.0,0.0037,False,0.0057,False
.10178.1517875222.481615,fp32,0.0036,0.0,0.0,0.0018,False,0.004,False
.10178.1517875222.481615,int8-qdq,0.0036,0.0,0.0,0.0018,False,0.0006,False
