arch,xai,n,iou,dice,rho,agreement,collapse_rate
mobilenetv3_large_100,gradcam,2082,0.4009,0.5369,0.5862,0.9625,0.0
mobilenetv3_large_100,gradcampp,2082,0.6457,0.7711,0.8364,0.9625,0.0
resnet50,gradcam,2082,0.7903,0.8784,0.9438,0.9904,0.0
resnet50,gradcampp,2082,0.7887,0.8781,0.9584,0.9904,0.0
tf_efficientnetv2_s,gradcam,2082,0.7457,0.8497,0.9545,0.9971,0.0
tf_efficientnetv2_s,gradcampp,2082,0.6674,0.7953,0.8697,0.9971,0.0
